"ID","Name","Rating","Price","Latitude","Longitude"
327,"Solun Bar and Tapas",3.5,1,41.3434,-72.9832
328,"JJ's Italian Kitchen",4.5,1,41.3531,-72.8919
329,"Tlaxcala Grocery",3.5,NA,41.3155,-72.9102
330,"Five Guys Burgers and Fries",3.5,1,41.3054,-72.9257
331,"Lechonera La Unica",4,1,41.2925,-72.9194
332,"Amici Tavern",4,1,41.3887,-72.8649
333,"Thai Stories Restaurant",4,1,41.3391,-72.982
334,"Burger King",1,1,41.3152,-72.938
335,"Park Central Tavern",3,1,41.3592,-72.9102
336,"Lobster Shack",4.5,1,41.2735,-72.8112
337,"Giuseppe's Pizza & Restaurant",3.5,1,41.3203,-72.8696
338,"Wok On In",2,1,41.3111,-72.9423
339,"Subway",4,1,41.3121,-72.9222
340,"Wah-Chun Chinese Restaurant",1,1,41.3089,-72.8952
341,"Iron Chef",4.5,1,41.256,-73.0148
342,"Bottega Lounge",2,1,41.3065,-72.9279
343,"Small Kitchen Big Taste",5,NA,41.3685,-72.8806
344,"Four Burritos Diner",4,1,41.2723,-72.9496
345,"Zuppardi's Apizza",4,1,41.2736,-72.9446
346,"Golden Wok",5,1,41.3085,-72.8916
347,"Punjabi Kadhai Indian Cuisine Restaurant",4.5,1,41.3557,-72.8718
348,"The Salad Palace",5,1,41.3461,-72.913
349,"Golden Rock",1.5,1,41.3057,-72.9247
350,"Our Oasis",4.5,1,41.2658,-72.8729
351,"Atrium Café - Brioche Dorée",3,NA,41.304,-72.935
352,"Daiko Japanese Restaurant & Jerry-San's Sushi Bar",4,1,41.3081,-72.9679
353,"Aladeen on the Grill",3,NA,41.3161,-72.9244
354,"Dive Bar & Resturant",4,1,41.2362,-72.9865
355,"Subway",3,NA,41.3054,-72.934
356,"More Than Pizza",3,1,41.3272,-72.9528
357,"Ola Restaurant",4.5,1,41.2626,-73.0065
358,"Torals Restaurant",1,NA,41.3146,-72.8967
359,"Frankie's",4,1,41.2817,-72.9828
360,"Thai Awesome",4,1,41.3538,-72.9297
361,"Kimberly Pizza",4,NA,41.291,-72.9332
362,"Planet Pizza",3.5,1,41.316,-72.9095
363,"Charcoal Chicken",3.5,1,41.2791,-72.9425
364,"Taqueria Jalisciences",3.5,NA,41.309,-72.8979
365,"A-1 Oriental Kitchen",2.5,1,41.3182,-72.9472
366,"Koi Sushi",4,1,41.2769,-72.8689
367,"Greek Olive Restaurant",3,1,41.2996,-72.9303
368,"Eli's Orange",3.5,1,41.267,-73.0021
369,"JaSa Asian Cuisine",4,1,41.359,-72.9268
370,"Pizza Plus",5,NA,41.3073,-72.9123
371,"Blue Check Village",4.5,1,41.3549,-72.991
372,"Three Brothers Diner",3.5,1,41.3416,-72.9352
373,"Le Petit Gourmet",3.5,1,41.3458,-72.9122
374,"Cafe on Temple",1,NA,41.3043,-72.9289
375,"Provenzano's",4.5,1,41.2735,-72.9631
376,"Only the Best Pizza",4.5,1,41.2641,-72.9467
377,"Wood-n-Tap Bar & Grill",3.5,1,41.2647,-73.0041
378,"Tropical Krust",4,NA,41.2859,-72.936
379,"Five Guys Burgers and Fries",4,1,41.3388,-72.9803
380,"Barbara's Restaurant",3.5,1,41.3394,-72.9354
381,"Ninth Square Market",3.5,NA,41.3046,-72.9251
382,"Ibiza Tapas Restaurant & Wine Bar",3.5,1,41.3617,-72.9245
383,"App's Ristorante",4,1,41.2599,-72.9483
384,"Coromandel Cuisine of India",4.5,1,41.2726,-72.9961
385,"Cafe Amici",3.5,1,41.3603,-72.9098
386,"Southern Wings Express",3.5,1,41.2781,-72.9447
387,"Marigolds",3,1,41.3044,-72.9342
388,"Peroles Restaurant & Bar",4,1,41.2606,-72.9457
389,"Black olive",5,1,41.3044,-72.9284
390,"Liuzzi Gourmet Food Market",4.5,1,41.3719,-72.8864
391,"Boiling SoHo",4.5,NA,41.3118,-72.916
392,"Eli's on Whitney",3.5,1,41.3844,-72.9017
393,"Biagetti's Restaurant",4,1,41.2601,-72.9454
